id,title,difficulty,category,concept,domain,role,context,problem_statement,tags
JAV-00047,Deque assessment for Retail cloud migration,Hard,JAVA_COLLECTIONS,Deque,Retail,Test Manager,cloud migration,"Design, code or whiteboard a hard solution involving Deque for Retail cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,retail,test-manager"
JAV-00048,HashMap assessment for Banking regulatory reporting modernization,Expert,JAVA_COLLECTIONS,HashMap,Banking,Test Manager,regulatory reporting modernization,"Design, code or whiteboard a expert solution involving HashMap for Banking regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,banking,test-manager"
JAV-00049,ArrayList assessment for Healthcare Payer API-first transformation,Hard,JAVA_COLLECTIONS,ArrayList,Healthcare Payer,SDET,API-first transformation,"Design, code or whiteboard a hard solution involving ArrayList for Healthcare Payer API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,healthcare-payer,sdet"
JAV-00050,ArrayList assessment for Data Engineering API-first transformation,Medium,JAVA_COLLECTIONS,ArrayList,Data Engineering,Automation Architect,API-first transformation,"Design, code or whiteboard a medium solution involving ArrayList for Data Engineering API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,data-engineering,automation-architect"
JAV-00051,LinkedHashSet assessment for Life Sciences API-first transformation,Medium,JAVA_COLLECTIONS,LinkedHashSet,Life Sciences,Test Manager,API-first transformation,"Design, code or whiteboard a medium solution involving LinkedHashSet for Life Sciences API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,life-sciences,test-manager"
JAV-00052,LinkedHashSet assessment for Healthcare Payer CI/CD quality gate adoption,Hard,JAVA_COLLECTIONS,LinkedHashSet,Healthcare Payer,SDET,CI/CD quality gate adoption,"Design, code or whiteboard a hard solution involving LinkedHashSet for Healthcare Payer CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,healthcare-payer,sdet"
JAV-00053,Deque assessment for Data Engineering regulatory reporting modernization,Expert,JAVA_COLLECTIONS,Deque,Data Engineering,Automation Architect,regulatory reporting modernization,"Design, code or whiteboard a expert solution involving Deque for Data Engineering regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,data-engineering,automation-architect"
JAV-00054,LinkedHashMap assessment for SaaS API-first transformation,Medium,JAVA_COLLECTIONS,LinkedHashMap,SaaS,Test Manager,API-first transformation,"Design, code or whiteboard a medium solution involving LinkedHashMap for SaaS API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,saas,test-manager"
JAV-00055,HashSet assessment for Data Engineering data platform migration,Easy,JAVA_COLLECTIONS,HashSet,Data Engineering,QE Architect,data platform migration,"Design, code or whiteboard a easy solution involving HashSet for Data Engineering data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,data-engineering,qe-architect"
JAV-00056,HashSet assessment for Retail observability and production readiness,Medium,JAVA_COLLECTIONS,HashSet,Retail,QE Architect,observability and production readiness,"Design, code or whiteboard a medium solution involving HashSet for Retail observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,retail,qe-architect"
JAV-00057,HashSet assessment for Cloud Modernization cloud migration,Easy,JAVA_COLLECTIONS,HashSet,Cloud Modernization,Data QA Engineer,cloud migration,"Design, code or whiteboard a easy solution involving HashSet for Cloud Modernization cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,cloud-modernization,data-qa-engineer"
JAV-00058,LinkedHashSet assessment for Healthcare Payer enterprise modernization,Medium,JAVA_COLLECTIONS,LinkedHashSet,Healthcare Payer,Automation Architect,enterprise modernization,"Design, code or whiteboard a medium solution involving LinkedHashSet for Healthcare Payer enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,healthcare-payer,automation-architect"
JAV-00059,HashSet assessment for Life Sciences regulatory reporting modernization,Medium,JAVA_COLLECTIONS,HashSet,Life Sciences,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving HashSet for Life Sciences regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,life-sciences,data-qa-engineer"
JAV-00060,Deque assessment for Life Sciences observability and production readiness,Hard,JAVA_COLLECTIONS,Deque,Life Sciences,QE Architect,observability and production readiness,"Design, code or whiteboard a hard solution involving Deque for Life Sciences observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,life-sciences,qe-architect"
JAV-00061,ArrayList assessment for Data Engineering regulatory reporting modernization,Medium,JAVA_COLLECTIONS,ArrayList,Data Engineering,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving ArrayList for Data Engineering regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,data-engineering,data-qa-engineer"
JAV-00062,LinkedHashMap assessment for Life Sciences regulatory reporting modernization,Hard,JAVA_COLLECTIONS,LinkedHashMap,Life Sciences,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a hard solution involving LinkedHashMap for Life Sciences regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,life-sciences,data-qa-engineer"
JAV-00063,ArrayList assessment for Cloud Modernization CI/CD quality gate adoption,Expert,JAVA_COLLECTIONS,ArrayList,Cloud Modernization,Lead Quality Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a expert solution involving ArrayList for Cloud Modernization CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,cloud-modernization,lead-quality-engineer"
JAV-00064,HashSet assessment for Insurance enterprise modernization,Hard,JAVA_COLLECTIONS,HashSet,Insurance,Test Manager,enterprise modernization,"Design, code or whiteboard a hard solution involving HashSet for Insurance enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,insurance,test-manager"
JAV-00065,ArrayList assessment for Healthcare Payer test automation modernization,Medium,JAVA_COLLECTIONS,ArrayList,Healthcare Payer,Data QA Engineer,test automation modernization,"Design, code or whiteboard a medium solution involving ArrayList for Healthcare Payer test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,healthcare-payer,data-qa-engineer"
JAV-00066,Deque assessment for Cloud Modernization cloud migration,Expert,JAVA_COLLECTIONS,Deque,Cloud Modernization,Test Manager,cloud migration,"Design, code or whiteboard a expert solution involving Deque for Cloud Modernization cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,cloud-modernization,test-manager"
JAV-00067,HashSet assessment for Data Engineering data platform migration,Easy,JAVA_COLLECTIONS,HashSet,Data Engineering,SDET,data platform migration,"Design, code or whiteboard a easy solution involving HashSet for Data Engineering data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,data-engineering,sdet"
JAV-00068,LinkedHashMap assessment for Banking test automation modernization,Medium,JAVA_COLLECTIONS,LinkedHashMap,Banking,Data QA Engineer,test automation modernization,"Design, code or whiteboard a medium solution involving LinkedHashMap for Banking test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,banking,data-qa-engineer"
JAV-00069,HashSet assessment for Healthcare Payer data platform migration,Medium,JAVA_COLLECTIONS,HashSet,Healthcare Payer,QA Practice Lead,data platform migration,"Design, code or whiteboard a medium solution involving HashSet for Healthcare Payer data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,healthcare-payer,qa-practice-lead"
JAV-00070,LinkedHashMap assessment for Data Engineering observability and production readiness,Hard,JAVA_COLLECTIONS,LinkedHashMap,Data Engineering,Data QA Engineer,observability and production readiness,"Design, code or whiteboard a hard solution involving LinkedHashMap for Data Engineering observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,data-engineering,data-qa-engineer"
JAV-00071,ArrayList assessment for Healthcare Payer API-first transformation,Medium,JAVA_COLLECTIONS,ArrayList,Healthcare Payer,Test Manager,API-first transformation,"Design, code or whiteboard a medium solution involving ArrayList for Healthcare Payer API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,healthcare-payer,test-manager"
JAV-00072,LinkedHashMap assessment for Banking regulatory reporting modernization,Easy,JAVA_COLLECTIONS,LinkedHashMap,Banking,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a easy solution involving LinkedHashMap for Banking regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,banking,data-qa-engineer"
JAV-00073,HashMap assessment for Healthcare Payer test automation modernization,Easy,JAVA_COLLECTIONS,HashMap,Healthcare Payer,Lead Quality Engineer,test automation modernization,"Design, code or whiteboard a easy solution involving HashMap for Healthcare Payer test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashmap,healthcare-payer,lead-quality-engineer"
JAV-00074,LinkedHashSet assessment for Insurance cloud migration,Medium,JAVA_COLLECTIONS,LinkedHashSet,Insurance,Automation Architect,cloud migration,"Design, code or whiteboard a medium solution involving LinkedHashSet for Insurance cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashset,insurance,automation-architect"
JAV-00075,LinkedHashMap assessment for SaaS enterprise modernization,Medium,JAVA_COLLECTIONS,LinkedHashMap,SaaS,Automation Architect,enterprise modernization,"Design, code or whiteboard a medium solution involving LinkedHashMap for SaaS enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,saas,automation-architect"
JAV-00076,Deque assessment for Retail API-first transformation,Hard,JAVA_COLLECTIONS,Deque,Retail,SDET,API-first transformation,"Design, code or whiteboard a hard solution involving Deque for Retail API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,retail,sdet"
JAV-00077,HashSet assessment for Data Engineering cloud migration,Easy,JAVA_COLLECTIONS,HashSet,Data Engineering,Automation Architect,cloud migration,"Design, code or whiteboard a easy solution involving HashSet for Data Engineering cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,hashset,data-engineering,automation-architect"
JAV-00078,ArrayList assessment for Supply Chain observability and production readiness,Medium,JAVA_COLLECTIONS,ArrayList,Supply Chain,Automation Architect,observability and production readiness,"Design, code or whiteboard a medium solution involving ArrayList for Supply Chain observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,arraylist,supply-chain,automation-architect"
JAV-00079,LinkedHashMap assessment for Healthcare Payer regulatory reporting modernization,Medium,JAVA_COLLECTIONS,LinkedHashMap,Healthcare Payer,Test Manager,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving LinkedHashMap for Healthcare Payer regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,linkedhashmap,healthcare-payer,test-manager"
JAV-00080,Deque assessment for Life Sciences test automation modernization,Medium,JAVA_COLLECTIONS,Deque,Life Sciences,Test Manager,test automation modernization,"Design, code or whiteboard a medium solution involving Deque for Life Sciences test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-collections,deque,life-sciences,test-manager"
